sample_id,sequence_id,frame_id,split,representation,image_path,label_path
2019-09-16-12-52-12_000016,2019-09-16-12-52-12,000016,train,range_angle,images/2019-09-16-12-52-12/000016.png,labels/2019-09-16-12-52-12/000016.txt
2019-09-16-12-52-12_000017,2019-09-16-12-52-12,000017,train,range_angle,images/2019-09-16-12-52-12/000017.png,labels/2019-09-16-12-52-12/000017.txt
2019-09-16-12-52-12_000018,2019-09-16-12-52-12,000018,train,range_angle,images/2019-09-16-12-52-12/000018.png,labels/2019-09-16-12-52-12/000018.txt
2019-09-16-12-52-12_000019,2019-09-16-12-52-12,000019,train,range_angle,images/2019-09-16-12-52-12/000019.png,labels/2019-09-16-12-52-12/000019.txt
2019-09-16-12-52-12_000020,2019-09-16-12-52-12,000020,train,range_angle,images/2019-09-16-12-52-12/000020.png,labels/2019-09-16-12-52-12/000020.txt
2019-09-16-12-52-12_000021,2019-09-16-12-52-12,000021,train,range_angle,images/2019-09-16-12-52-12/000021.png,labels/2019-09-16-12-52-12/000021.txt
2019-09-16-12-52-12_000022,2019-09-16-12-52-12,000022,train,range_angle,images/2019-09-16-12-52-12/000022.png,labels/2019-09-16-12-52-12/000022.txt
2019-09-16-12-52-12_000023,2019-09-16-12-52-12,000023,train,range_angle,images/2019-09-16-12-52-12/000023.png,labels/2019-09-16-12-52-12/000023.txt
2019-09-16-12-52-12_000024,2019-09-16-12-52-12,000024,train,range_angle,images/2019-09-16-12-52-12/000024.png,labels/2019-09-16-12-52-12/000024.txt
2019-09-16-12-52-12_000025,2019-09-16-12-52-12,000025,train,range_angle,images/2019-09-16-12-52-12/000025.png,labels/2019-09-16-12-52-12/000025.txt
2019-09-16-12-52-12_000026,2019-09-16-12-52-12,000026,train,range_angle,images/2019-09-16-12-52-12/000026.png,labels/2019-09-16-12-52-12/000026.txt
2019-09-16-12-52-12_000027,2019-09-16-12-52-12,000027,train,range_angle,images/2019-09-16-12-52-12/000027.png,labels/2019-09-16-12-52-12/000027.txt
2019-09-16-12-52-12_000028,2019-09-16-12-52-12,000028,train,range_angle,images/2019-09-16-12-52-12/000028.png,labels/2019-09-16-12-52-12/000028.txt
2019-09-16-12-52-12_000029,2019-09-16-12-52-12,000029,train,range_angle,images/2019-09-16-12-52-12/000029.png,labels/2019-09-16-12-52-12/000029.txt
2019-09-16-12-52-12_000030,2019-09-16-12-52-12,000030,train,range_angle,images/2019-09-16-12-52-12/000030.png,labels/2019-09-16-12-52-12/000030.txt
2019-09-16-12-52-12_000031,2019-09-16-12-52-12,000031,train,range_angle,images/2019-09-16-12-52-12/000031.png,labels/2019-09-16-12-52-12/000031.txt
2019-09-16-12-52-12_000032,2019-09-16-12-52-12,000032,train,range_angle,images/2019-09-16-12-52-12/000032.png,labels/2019-09-16-12-52-12/000032.txt
2019-09-16-12-52-12_000033,2019-09-16-12-52-12,000033,train,range_angle,images/2019-09-16-12-52-12/000033.png,labels/2019-09-16-12-52-12/000033.txt
2019-09-16-12-52-12_000034,2019-09-16-12-52-12,000034,train,range_angle,images/2019-09-16-12-52-12/000034.png,labels/2019-09-16-12-52-12/000034.txt
2019-09-16-12-52-12_000035,2019-09-16-12-52-12,000035,train,range_angle,images/2019-09-16-12-52-12/000035.png,labels/2019-09-16-12-52-12/000035.txt
2019-09-16-12-52-12_000036,2019-09-16-12-52-12,000036,train,range_angle,images/2019-09-16-12-52-12/000036.png,labels/2019-09-16-12-52-12/000036.txt
2019-09-16-12-52-12_000037,2019-09-16-12-52-12,000037,train,range_angle,images/2019-09-16-12-52-12/000037.png,labels/2019-09-16-12-52-12/000037.txt
2019-09-16-12-52-12_000038,2019-09-16-12-52-12,000038,train,range_angle,images/2019-09-16-12-52-12/000038.png,labels/2019-09-16-12-52-12/000038.txt
2019-09-16-12-52-12_000039,2019-09-16-12-52-12,000039,train,range_angle,images/2019-09-16-12-52-12/000039.png,labels/2019-09-16-12-52-12/000039.txt
2019-09-16-12-52-12_000040,2019-09-16-12-52-12,000040,train,range_angle,images/2019-09-16-12-52-12/000040.png,labels/2019-09-16-12-52-12/000040.txt
2019-09-16-12-52-12_000041,2019-09-16-12-52-12,000041,train,range_angle,images/2019-09-16-12-52-12/000041.png,labels/2019-09-16-12-52-12/000041.txt
2019-09-16-12-52-12_000042,2019-09-16-12-52-12,000042,train,range_angle,images/2019-09-16-12-52-12/000042.png,labels/2019-09-16-12-52-12/000042.txt
2019-09-16-12-52-12_000043,2019-09-16-12-52-12,000043,train,range_angle,images/2019-09-16-12-52-12/000043.png,labels/2019-09-16-12-52-12/000043.txt
2019-09-16-12-52-12_000044,2019-09-16-12-52-12,000044,train,range_angle,images/2019-09-16-12-52-12/000044.png,labels/2019-09-16-12-52-12/000044.txt
2019-09-16-12-52-12_000045,2019-09-16-12-52-12,000045,train,range_angle,images/2019-09-16-12-52-12/000045.png,labels/2019-09-16-12-52-12/000045.txt
2019-09-16-12-52-12_000046,2019-09-16-12-52-12,000046,train,range_angle,images/2019-09-16-12-52-12/000046.png,labels/2019-09-16-12-52-12/000046.txt
2019-09-16-12-52-12_000047,2019-09-16-12-52-12,000047,train,range_angle,images/2019-09-16-12-52-12/000047.png,labels/2019-09-16-12-52-12/000047.txt
2019-09-16-12-52-12_000048,2019-09-16-12-52-12,000048,train,range_angle,images/2019-09-16-12-52-12/000048.png,labels/2019-09-16-12-52-12/000048.txt
2019-09-16-12-52-12_000049,2019-09-16-12-52-12,000049,train,range_angle,images/2019-09-16-12-52-12/000049.png,labels/2019-09-16-12-52-12/000049.txt
2019-09-16-12-52-12_000050,2019-09-16-12-52-12,000050,train,range_angle,images/2019-09-16-12-52-12/000050.png,labels/2019-09-16-12-52-12/000050.txt
2019-09-16-12-52-12_000051,2019-09-16-12-52-12,000051,train,range_angle,images/2019-09-16-12-52-12/000051.png,labels/2019-09-16-12-52-12/000051.txt
2019-09-16-12-52-12_000052,2019-09-16-12-52-12,000052,train,range_angle,images/2019-09-16-12-52-12/000052.png,labels/2019-09-16-12-52-12/000052.txt
2019-09-16-12-52-12_000053,2019-09-16-12-52-12,000053,train,range_angle,images/2019-09-16-12-52-12/000053.png,labels/2019-09-16-12-52-12/000053.txt
2019-09-16-12-52-12_000054,2019-09-16-12-52-12,000054,train,range_angle,images/2019-09-16-12-52-12/000054.png,labels/2019-09-16-12-52-12/000054.txt
2019-09-16-12-52-12_000055,2019-09-16-12-52-12,000055,train,range_angle,images/2019-09-16-12-52-12/000055.png,labels/2019-09-16-12-52-12/000055.txt
2019-09-16-12-52-12_000056,2019-09-16-12-52-12,000056,train,range_angle,images/2019-09-16-12-52-12/000056.png,labels/2019-09-16-12-52-12/000056.txt
2019-09-16-12-52-12_000057,2019-09-16-12-52-12,000057,train,range_angle,images/2019-09-16-12-52-12/000057.png,labels/2019-09-16-12-52-12/000057.txt
2019-09-16-12-52-12_000058,2019-09-16-12-52-12,000058,train,range_angle,images/2019-09-16-12-52-12/000058.png,labels/2019-09-16-12-52-12/000058.txt
2019-09-16-12-52-12_000059,2019-09-16-12-52-12,000059,train,range_angle,images/2019-09-16-12-52-12/000059.png,labels/2019-09-16-12-52-12/000059.txt
2019-09-16-12-52-12_000060,2019-09-16-12-52-12,000060,train,range_angle,images/2019-09-16-12-52-12/000060.png,labels/2019-09-16-12-52-12/000060.txt
2019-09-16-12-52-12_000061,2019-09-16-12-52-12,000061,train,range_angle,images/2019-09-16-12-52-12/000061.png,labels/2019-09-16-12-52-12/000061.txt
2019-09-16-12-52-12_000062,2019-09-16-12-52-12,000062,train,range_angle,images/2019-09-16-12-52-12/000062.png,labels/2019-09-16-12-52-12/000062.txt
2019-09-16-12-52-12_000063,2019-09-16-12-52-12,000063,train,range_angle,images/2019-09-16-12-52-12/000063.png,labels/2019-09-16-12-52-12/000063.txt
2019-09-16-12-52-12_000064,2019-09-16-12-52-12,000064,train,range_angle,images/2019-09-16-12-52-12/000064.png,labels/2019-09-16-12-52-12/000064.txt
2019-09-16-12-52-12_000065,2019-09-16-12-52-12,000065,train,range_angle,images/2019-09-16-12-52-12/000065.png,labels/2019-09-16-12-52-12/000065.txt
2019-09-16-12-52-12_000066,2019-09-16-12-52-12,000066,train,range_angle,images/2019-09-16-12-52-12/000066.png,labels/2019-09-16-12-52-12/000066.txt
2019-09-16-12-52-12_000067,2019-09-16-12-52-12,000067,train,range_angle,images/2019-09-16-12-52-12/000067.png,labels/2019-09-16-12-52-12/000067.txt
2019-09-16-12-52-12_000068,2019-09-16-12-52-12,000068,train,range_angle,images/2019-09-16-12-52-12/000068.png,labels/2019-09-16-12-52-12/000068.txt
2019-09-16-12-52-12_000069,2019-09-16-12-52-12,000069,train,range_angle,images/2019-09-16-12-52-12/000069.png,labels/2019-09-16-12-52-12/000069.txt
2019-09-16-12-52-12_000070,2019-09-16-12-52-12,000070,train,range_angle,images/2019-09-16-12-52-12/000070.png,labels/2019-09-16-12-52-12/000070.txt
2019-09-16-12-52-12_000071,2019-09-16-12-52-12,000071,train,range_angle,images/2019-09-16-12-52-12/000071.png,labels/2019-09-16-12-52-12/000071.txt
2019-09-16-12-52-12_000072,2019-09-16-12-52-12,000072,train,range_angle,images/2019-09-16-12-52-12/000072.png,labels/2019-09-16-12-52-12/000072.txt
2019-09-16-12-52-12_000073,2019-09-16-12-52-12,000073,train,range_angle,images/2019-09-16-12-52-12/000073.png,labels/2019-09-16-12-52-12/000073.txt
2019-09-16-12-52-12_000074,2019-09-16-12-52-12,000074,train,range_angle,images/2019-09-16-12-52-12/000074.png,labels/2019-09-16-12-52-12/000074.txt
2019-09-16-12-52-12_000075,2019-09-16-12-52-12,000075,train,range_angle,images/2019-09-16-12-52-12/000075.png,labels/2019-09-16-12-52-12/000075.txt
2019-09-16-12-52-12_000076,2019-09-16-12-52-12,000076,train,range_angle,images/2019-09-16-12-52-12/000076.png,labels/2019-09-16-12-52-12/000076.txt
2019-09-16-12-52-12_000077,2019-09-16-12-52-12,000077,train,range_angle,images/2019-09-16-12-52-12/000077.png,labels/2019-09-16-12-52-12/000077.txt
2019-09-16-12-52-12_000078,2019-09-16-12-52-12,000078,train,range_angle,images/2019-09-16-12-52-12/000078.png,labels/2019-09-16-12-52-12/000078.txt
2019-09-16-12-52-12_000079,2019-09-16-12-52-12,000079,train,range_angle,images/2019-09-16-12-52-12/000079.png,labels/2019-09-16-12-52-12/000079.txt
2019-09-16-12-52-12_000080,2019-09-16-12-52-12,000080,train,range_angle,images/2019-09-16-12-52-12/000080.png,labels/2019-09-16-12-52-12/000080.txt
2019-09-16-12-52-12_000081,2019-09-16-12-52-12,000081,train,range_angle,images/2019-09-16-12-52-12/000081.png,labels/2019-09-16-12-52-12/000081.txt
2019-09-16-12-52-12_000082,2019-09-16-12-52-12,000082,train,range_angle,images/2019-09-16-12-52-12/000082.png,labels/2019-09-16-12-52-12/000082.txt
2019-09-16-12-52-12_000083,2019-09-16-12-52-12,000083,train,range_angle,images/2019-09-16-12-52-12/000083.png,labels/2019-09-16-12-52-12/000083.txt
2019-09-16-12-52-12_000084,2019-09-16-12-52-12,000084,train,range_angle,images/2019-09-16-12-52-12/000084.png,labels/2019-09-16-12-52-12/000084.txt
2019-09-16-12-52-12_000085,2019-09-16-12-52-12,000085,train,range_angle,images/2019-09-16-12-52-12/000085.png,labels/2019-09-16-12-52-12/000085.txt
2019-09-16-12-52-12_000086,2019-09-16-12-52-12,000086,train,range_angle,images/2019-09-16-12-52-12/000086.png,labels/2019-09-16-12-52-12/000086.txt
2019-09-16-12-52-12_000087,2019-09-16-12-52-12,000087,train,range_angle,images/2019-09-16-12-52-12/000087.png,labels/2019-09-16-12-52-12/000087.txt
2019-09-16-12-52-12_000088,2019-09-16-12-52-12,000088,train,range_angle,images/2019-09-16-12-52-12/000088.png,labels/2019-09-16-12-52-12/000088.txt
2019-09-16-12-52-12_000089,2019-09-16-12-52-12,000089,train,range_angle,images/2019-09-16-12-52-12/000089.png,labels/2019-09-16-12-52-12/000089.txt
2019-09-16-12-52-12_000090,2019-09-16-12-52-12,000090,train,range_angle,images/2019-09-16-12-52-12/000090.png,labels/2019-09-16-12-52-12/000090.txt
2019-09-16-12-52-12_000091,2019-09-16-12-52-12,000091,train,range_angle,images/2019-09-16-12-52-12/000091.png,labels/2019-09-16-12-52-12/000091.txt
2019-09-16-12-52-12_000092,2019-09-16-12-52-12,000092,train,range_angle,images/2019-09-16-12-52-12/000092.png,labels/2019-09-16-12-52-12/000092.txt
2019-09-16-12-52-12_000093,2019-09-16-12-52-12,000093,train,range_angle,images/2019-09-16-12-52-12/000093.png,labels/2019-09-16-12-52-12/000093.txt
2019-09-16-12-52-12_000094,2019-09-16-12-52-12,000094,train,range_angle,images/2019-09-16-12-52-12/000094.png,labels/2019-09-16-12-52-12/000094.txt
2019-09-16-12-52-12_000095,2019-09-16-12-52-12,000095,train,range_angle,images/2019-09-16-12-52-12/000095.png,labels/2019-09-16-12-52-12/000095.txt
2019-09-16-12-52-12_000096,2019-09-16-12-52-12,000096,train,range_angle,images/2019-09-16-12-52-12/000096.png,labels/2019-09-16-12-52-12/000096.txt
2019-09-16-12-52-12_000097,2019-09-16-12-52-12,000097,train,range_angle,images/2019-09-16-12-52-12/000097.png,labels/2019-09-16-12-52-12/000097.txt
2019-09-16-12-52-12_000098,2019-09-16-12-52-12,000098,train,range_angle,images/2019-09-16-12-52-12/000098.png,labels/2019-09-16-12-52-12/000098.txt
2019-09-16-12-52-12_000099,2019-09-16-12-52-12,000099,train,range_angle,images/2019-09-16-12-52-12/000099.png,labels/2019-09-16-12-52-12/000099.txt
2019-09-16-12-52-12_000100,2019-09-16-12-52-12,000100,train,range_angle,images/2019-09-16-12-52-12/000100.png,labels/2019-09-16-12-52-12/000100.txt
2019-09-16-12-52-12_000101,2019-09-16-12-52-12,000101,train,range_angle,images/2019-09-16-12-52-12/000101.png,labels/2019-09-16-12-52-12/000101.txt
2019-09-16-12-52-12_000102,2019-09-16-12-52-12,000102,train,range_angle,images/2019-09-16-12-52-12/000102.png,labels/2019-09-16-12-52-12/000102.txt
2019-09-16-12-52-12_000103,2019-09-16-12-52-12,000103,train,range_angle,images/2019-09-16-12-52-12/000103.png,labels/2019-09-16-12-52-12/000103.txt
2019-09-16-12-52-12_000104,2019-09-16-12-52-12,000104,train,range_angle,images/2019-09-16-12-52-12/000104.png,labels/2019-09-16-12-52-12/000104.txt
2019-09-16-12-52-12_000105,2019-09-16-12-52-12,000105,train,range_angle,images/2019-09-16-12-52-12/000105.png,labels/2019-09-16-12-52-12/000105.txt
2019-09-16-12-52-12_000106,2019-09-16-12-52-12,000106,train,range_angle,images/2019-09-16-12-52-12/000106.png,labels/2019-09-16-12-52-12/000106.txt
2019-09-16-12-52-12_000107,2019-09-16-12-52-12,000107,train,range_angle,images/2019-09-16-12-52-12/000107.png,labels/2019-09-16-12-52-12/000107.txt
2019-09-16-12-52-12_000108,2019-09-16-12-52-12,000108,train,range_angle,images/2019-09-16-12-52-12/000108.png,labels/2019-09-16-12-52-12/000108.txt
2019-09-16-12-52-12_000109,2019-09-16-12-52-12,000109,train,range_angle,images/2019-09-16-12-52-12/000109.png,labels/2019-09-16-12-52-12/000109.txt
2019-09-16-12-52-12_000110,2019-09-16-12-52-12,000110,train,range_angle,images/2019-09-16-12-52-12/000110.png,labels/2019-09-16-12-52-12/000110.txt
2019-09-16-12-52-12_000111,2019-09-16-12-52-12,000111,train,range_angle,images/2019-09-16-12-52-12/000111.png,labels/2019-09-16-12-52-12/000111.txt
2019-09-16-12-52-12_000112,2019-09-16-12-52-12,000112,train,range_angle,images/2019-09-16-12-52-12/000112.png,labels/2019-09-16-12-52-12/000112.txt
2019-09-16-12-52-12_000113,2019-09-16-12-52-12,000113,train,range_angle,images/2019-09-16-12-52-12/000113.png,labels/2019-09-16-12-52-12/000113.txt
2019-09-16-12-52-12_000114,2019-09-16-12-52-12,000114,train,range_angle,images/2019-09-16-12-52-12/000114.png,labels/2019-09-16-12-52-12/000114.txt
2019-09-16-12-52-12_000115,2019-09-16-12-52-12,000115,train,range_angle,images/2019-09-16-12-52-12/000115.png,labels/2019-09-16-12-52-12/000115.txt
2019-09-16-12-52-12_000116,2019-09-16-12-52-12,000116,train,range_angle,images/2019-09-16-12-52-12/000116.png,labels/2019-09-16-12-52-12/000116.txt
2019-09-16-12-52-12_000117,2019-09-16-12-52-12,000117,train,range_angle,images/2019-09-16-12-52-12/000117.png,labels/2019-09-16-12-52-12/000117.txt
2019-09-16-12-52-12_000118,2019-09-16-12-52-12,000118,train,range_angle,images/2019-09-16-12-52-12/000118.png,labels/2019-09-16-12-52-12/000118.txt
2019-09-16-12-52-12_000119,2019-09-16-12-52-12,000119,train,range_angle,images/2019-09-16-12-52-12/000119.png,labels/2019-09-16-12-52-12/000119.txt
2019-09-16-12-52-12_000120,2019-09-16-12-52-12,000120,train,range_angle,images/2019-09-16-12-52-12/000120.png,labels/2019-09-16-12-52-12/000120.txt
2019-09-16-12-52-12_000121,2019-09-16-12-52-12,000121,train,range_angle,images/2019-09-16-12-52-12/000121.png,labels/2019-09-16-12-52-12/000121.txt
2019-09-16-12-52-12_000122,2019-09-16-12-52-12,000122,train,range_angle,images/2019-09-16-12-52-12/000122.png,labels/2019-09-16-12-52-12/000122.txt
2019-09-16-12-52-12_000123,2019-09-16-12-52-12,000123,train,range_angle,images/2019-09-16-12-52-12/000123.png,labels/2019-09-16-12-52-12/000123.txt
2019-09-16-12-52-12_000124,2019-09-16-12-52-12,000124,train,range_angle,images/2019-09-16-12-52-12/000124.png,labels/2019-09-16-12-52-12/000124.txt
2019-09-16-12-52-12_000125,2019-09-16-12-52-12,000125,train,range_angle,images/2019-09-16-12-52-12/000125.png,labels/2019-09-16-12-52-12/000125.txt
2019-09-16-12-52-12_000126,2019-09-16-12-52-12,000126,train,range_angle,images/2019-09-16-12-52-12/000126.png,labels/2019-09-16-12-52-12/000126.txt
2019-09-16-12-52-12_000127,2019-09-16-12-52-12,000127,train,range_angle,images/2019-09-16-12-52-12/000127.png,labels/2019-09-16-12-52-12/000127.txt
2019-09-16-12-52-12_000128,2019-09-16-12-52-12,000128,train,range_angle,images/2019-09-16-12-52-12/000128.png,labels/2019-09-16-12-52-12/000128.txt
2019-09-16-12-52-12_000129,2019-09-16-12-52-12,000129,train,range_angle,images/2019-09-16-12-52-12/000129.png,labels/2019-09-16-12-52-12/000129.txt
2019-09-16-12-52-12_000130,2019-09-16-12-52-12,000130,train,range_angle,images/2019-09-16-12-52-12/000130.png,labels/2019-09-16-12-52-12/000130.txt
2019-09-16-12-52-12_000131,2019-09-16-12-52-12,000131,train,range_angle,images/2019-09-16-12-52-12/000131.png,labels/2019-09-16-12-52-12/000131.txt
2019-09-16-12-52-12_000132,2019-09-16-12-52-12,000132,train,range_angle,images/2019-09-16-12-52-12/000132.png,labels/2019-09-16-12-52-12/000132.txt
2019-09-16-12-52-12_000133,2019-09-16-12-52-12,000133,train,range_angle,images/2019-09-16-12-52-12/000133.png,labels/2019-09-16-12-52-12/000133.txt
2019-09-16-12-52-12_000134,2019-09-16-12-52-12,000134,train,range_angle,images/2019-09-16-12-52-12/000134.png,labels/2019-09-16-12-52-12/000134.txt
2019-09-16-12-52-12_000135,2019-09-16-12-52-12,000135,train,range_angle,images/2019-09-16-12-52-12/000135.png,labels/2019-09-16-12-52-12/000135.txt
2019-09-16-12-52-12_000136,2019-09-16-12-52-12,000136,train,range_angle,images/2019-09-16-12-52-12/000136.png,labels/2019-09-16-12-52-12/000136.txt
2019-09-16-12-52-12_000137,2019-09-16-12-52-12,000137,train,range_angle,images/2019-09-16-12-52-12/000137.png,labels/2019-09-16-12-52-12/000137.txt
2019-09-16-12-52-12_000138,2019-09-16-12-52-12,000138,train,range_angle,images/2019-09-16-12-52-12/000138.png,labels/2019-09-16-12-52-12/000138.txt
2019-09-16-12-52-12_000139,2019-09-16-12-52-12,000139,train,range_angle,images/2019-09-16-12-52-12/000139.png,labels/2019-09-16-12-52-12/000139.txt
2019-09-16-12-52-12_000140,2019-09-16-12-52-12,000140,train,range_angle,images/2019-09-16-12-52-12/000140.png,labels/2019-09-16-12-52-12/000140.txt
2019-09-16-12-52-12_000141,2019-09-16-12-52-12,000141,train,range_angle,images/2019-09-16-12-52-12/000141.png,labels/2019-09-16-12-52-12/000141.txt
2019-09-16-12-52-12_000142,2019-09-16-12-52-12,000142,train,range_angle,images/2019-09-16-12-52-12/000142.png,labels/2019-09-16-12-52-12/000142.txt
2019-09-16-12-52-12_000143,2019-09-16-12-52-12,000143,train,range_angle,images/2019-09-16-12-52-12/000143.png,labels/2019-09-16-12-52-12/000143.txt
2019-09-16-12-52-12_000144,2019-09-16-12-52-12,000144,train,range_angle,images/2019-09-16-12-52-12/000144.png,labels/2019-09-16-12-52-12/000144.txt
2019-09-16-12-52-12_000145,2019-09-16-12-52-12,000145,train,range_angle,images/2019-09-16-12-52-12/000145.png,labels/2019-09-16-12-52-12/000145.txt
2019-09-16-12-52-12_000146,2019-09-16-12-52-12,000146,train,range_angle,images/2019-09-16-12-52-12/000146.png,labels/2019-09-16-12-52-12/000146.txt
2019-09-16-12-52-12_000147,2019-09-16-12-52-12,000147,train,range_angle,images/2019-09-16-12-52-12/000147.png,labels/2019-09-16-12-52-12/000147.txt
2019-09-16-12-52-12_000148,2019-09-16-12-52-12,000148,train,range_angle,images/2019-09-16-12-52-12/000148.png,labels/2019-09-16-12-52-12/000148.txt
2019-09-16-12-52-12_000149,2019-09-16-12-52-12,000149,train,range_angle,images/2019-09-16-12-52-12/000149.png,labels/2019-09-16-12-52-12/000149.txt
2019-09-16-12-52-12_000150,2019-09-16-12-52-12,000150,train,range_angle,images/2019-09-16-12-52-12/000150.png,labels/2019-09-16-12-52-12/000150.txt
2019-09-16-12-52-12_000151,2019-09-16-12-52-12,000151,train,range_angle,images/2019-09-16-12-52-12/000151.png,labels/2019-09-16-12-52-12/000151.txt
2019-09-16-12-52-12_000152,2019-09-16-12-52-12,000152,train,range_angle,images/2019-09-16-12-52-12/000152.png,labels/2019-09-16-12-52-12/000152.txt
2019-09-16-12-52-12_000153,2019-09-16-12-52-12,000153,train,range_angle,images/2019-09-16-12-52-12/000153.png,labels/2019-09-16-12-52-12/000153.txt
2019-09-16-12-52-12_000154,2019-09-16-12-52-12,000154,train,range_angle,images/2019-09-16-12-52-12/000154.png,labels/2019-09-16-12-52-12/000154.txt
2019-09-16-12-52-12_000155,2019-09-16-12-52-12,000155,train,range_angle,images/2019-09-16-12-52-12/000155.png,labels/2019-09-16-12-52-12/000155.txt
2019-09-16-12-52-12_000156,2019-09-16-12-52-12,000156,train,range_angle,images/2019-09-16-12-52-12/000156.png,labels/2019-09-16-12-52-12/000156.txt
2019-09-16-12-52-12_000157,2019-09-16-12-52-12,000157,train,range_angle,images/2019-09-16-12-52-12/000157.png,labels/2019-09-16-12-52-12/000157.txt
2019-09-16-12-52-12_000158,2019-09-16-12-52-12,000158,train,range_angle,images/2019-09-16-12-52-12/000158.png,labels/2019-09-16-12-52-12/000158.txt
2019-09-16-12-52-12_000159,2019-09-16-12-52-12,000159,train,range_angle,images/2019-09-16-12-52-12/000159.png,labels/2019-09-16-12-52-12/000159.txt
2019-09-16-12-52-12_000160,2019-09-16-12-52-12,000160,train,range_angle,images/2019-09-16-12-52-12/000160.png,labels/2019-09-16-12-52-12/000160.txt
2019-09-16-12-52-12_000161,2019-09-16-12-52-12,000161,train,range_angle,images/2019-09-16-12-52-12/000161.png,labels/2019-09-16-12-52-12/000161.txt
2019-09-16-12-52-12_000162,2019-09-16-12-52-12,000162,train,range_angle,images/2019-09-16-12-52-12/000162.png,labels/2019-09-16-12-52-12/000162.txt
2019-09-16-12-52-12_000163,2019-09-16-12-52-12,000163,train,range_angle,images/2019-09-16-12-52-12/000163.png,labels/2019-09-16-12-52-12/000163.txt
2019-09-16-12-52-12_000164,2019-09-16-12-52-12,000164,train,range_angle,images/2019-09-16-12-52-12/000164.png,labels/2019-09-16-12-52-12/000164.txt
2019-09-16-12-52-12_000165,2019-09-16-12-52-12,000165,train,range_angle,images/2019-09-16-12-52-12/000165.png,labels/2019-09-16-12-52-12/000165.txt
2019-09-16-12-52-12_000166,2019-09-16-12-52-12,000166,train,range_angle,images/2019-09-16-12-52-12/000166.png,labels/2019-09-16-12-52-12/000166.txt
2019-09-16-12-52-12_000167,2019-09-16-12-52-12,000167,train,range_angle,images/2019-09-16-12-52-12/000167.png,labels/2019-09-16-12-52-12/000167.txt
2019-09-16-12-52-12_000168,2019-09-16-12-52-12,000168,train,range_angle,images/2019-09-16-12-52-12/000168.png,labels/2019-09-16-12-52-12/000168.txt
2019-09-16-12-52-12_000169,2019-09-16-12-52-12,000169,train,range_angle,images/2019-09-16-12-52-12/000169.png,labels/2019-09-16-12-52-12/000169.txt
2019-09-16-12-52-12_000170,2019-09-16-12-52-12,000170,train,range_angle,images/2019-09-16-12-52-12/000170.png,labels/2019-09-16-12-52-12/000170.txt
2019-09-16-12-52-12_000171,2019-09-16-12-52-12,000171,train,range_angle,images/2019-09-16-12-52-12/000171.png,labels/2019-09-16-12-52-12/000171.txt
